xid,accuracy,dataset,steps,epoch,batch_size,early_termination,evaluation_time,beta,tau,model
0,0.9771634615384616,mnist,8,100,64,False,12.382363557815552,0.95,0.1,simple
1,0.9771634615384616,mnist,8,100,64,True,9.328350067138672,0.95,0.1,simple
2,0.9676482371794872,mnist,8,100,64,False,6.311058044433594,0.95,0.1,smlp78440010
3,0.9676482371794872,mnist,8,100,64,True,6.016073703765869,0.95,0.1,smlp78440010
4,0.8807091346153846,fashionmnist,16,100,64,False,20.62588882446289,0.95,0.1,simple
5,0.8807091346153846,fashionmnist,16,100,64,True,12.726130485534668,0.95,0.1,simple
6,0.8575721153846154,fashionmnist,16,100,64,False,17.629695892333984,0.95,0.1,scnn
7,0.8575721153846154,fashionmnist,16,100,64,True,15.537799596786499,0.95,0.1,scnn
8,0.8681891025641025,fashionmnist,16,100,64,False,11.64632773399353,0.95,0.1,smlp78440040010
9,0.8681891025641025,fashionmnist,16,100,64,True,10.914174556732178,0.95,0.1,smlp78440040010
10,0.9771634615384616,mnist,8,100,64,False,12.379587650299072,0.95,0.1,simple
11,0.9771634615384616,mnist,8,100,64,True,9.264958143234253,0.95,0.1,simple
12,0.9676482371794872,mnist,8,100,64,False,6.31660532951355,0.95,0.1,smlp78440010
13,0.9676482371794872,mnist,8,100,64,True,5.798205137252808,0.95,0.1,smlp78440010
14,0.8807091346153846,fashionmnist,16,100,64,False,20.512543201446533,0.95,0.1,simple
15,0.8807091346153846,fashionmnist,16,100,64,True,12.660005569458008,0.95,0.1,simple
16,0.8575721153846154,fashionmnist,16,100,64,False,18.07486057281494,0.95,0.1,scnn
17,0.8575721153846154,fashionmnist,16,100,64,True,16.4573335647583,0.95,0.1,scnn
18,0.8681891025641025,fashionmnist,16,100,64,False,11.096648454666138,0.95,0.1,smlp78440040010
19,0.8681891025641025,fashionmnist,16,100,64,True,10.85348391532898,0.95,0.1,smlp78440040010
20,0.9771634615384616,mnist,8,100,64,False,12.554435968399048,0.95,0.1,simple
21,0.9771634615384616,mnist,8,100,64,True,9.358684062957764,0.95,0.1,simple
22,0.9676482371794872,mnist,8,100,64,False,6.232738494873047,0.95,0.1,smlp78440010
23,0.9676482371794872,mnist,8,100,64,True,5.778235912322998,0.95,0.1,smlp78440010
24,0.8807091346153846,fashionmnist,16,100,64,False,20.606805562973022,0.95,0.1,simple
25,0.8807091346153846,fashionmnist,16,100,64,True,12.559886693954468,0.95,0.1,simple
26,0.8575721153846154,fashionmnist,16,100,64,False,17.217909812927246,0.95,0.1,scnn
27,0.8575721153846154,fashionmnist,16,100,64,True,15.931289196014404,0.95,0.1,scnn
28,0.8681891025641025,fashionmnist,16,100,64,False,11.533291101455688,0.95,0.1,smlp78440040010
29,0.8681891025641025,fashionmnist,16,100,64,True,11.233019828796387,0.95,0.1,smlp78440040010
30,0.9771634615384616,mnist,8,100,64,False,12.349222183227539,0.95,0.1,simple
31,0.9771634615384616,mnist,8,100,64,True,9.361445426940918,0.95,0.1,simple
32,0.9676482371794872,mnist,8,100,64,False,6.380821704864502,0.95,0.1,smlp78440010
33,0.9676482371794872,mnist,8,100,64,True,6.081483602523804,0.95,0.1,smlp78440010
34,0.8807091346153846,fashionmnist,16,100,64,False,20.615540504455566,0.95,0.1,simple
35,0.8807091346153846,fashionmnist,16,100,64,True,12.532531499862671,0.95,0.1,simple
36,0.8575721153846154,fashionmnist,16,100,64,False,16.983021020889282,0.95,0.1,scnn
37,0.8575721153846154,fashionmnist,16,100,64,True,16.477179050445557,0.95,0.1,scnn
38,0.8681891025641025,fashionmnist,16,100,64,False,11.133558511734009,0.95,0.1,smlp78440040010
39,0.8681891025641025,fashionmnist,16,100,64,True,11.12380599975586,0.95,0.1,smlp78440040010
40,0.9771634615384616,mnist,8,100,64,False,12.416183948516846,0.95,0.1,simple
41,0.9771634615384616,mnist,8,100,64,True,9.41339659690857,0.95,0.1,simple
42,0.9676482371794872,mnist,8,100,64,False,6.395243167877197,0.95,0.1,smlp78440010
43,0.9676482371794872,mnist,8,100,64,True,5.733203649520874,0.95,0.1,smlp78440010
44,0.8807091346153846,fashionmnist,16,100,64,False,20.512817859649658,0.95,0.1,simple
45,0.8807091346153846,fashionmnist,16,100,64,True,12.678747653961182,0.95,0.1,simple
46,0.8575721153846154,fashionmnist,16,100,64,False,17.653545379638672,0.95,0.1,scnn
47,0.8575721153846154,fashionmnist,16,100,64,True,16.361726999282837,0.95,0.1,scnn
48,0.8681891025641025,fashionmnist,16,100,64,False,11.176251649856567,0.95,0.1,smlp78440040010
49,0.8681891025641025,fashionmnist,16,100,64,True,10.904149770736694,0.95,0.1,smlp78440040010
50,0.9771634615384616,mnist,8,100,64,False,12.351735353469849,0.95,0.1,simple
51,0.9771634615384616,mnist,8,100,64,True,8.89535641670227,0.95,0.1,simple
52,0.9676482371794872,mnist,8,100,64,False,6.388791799545288,0.95,0.1,smlp78440010
53,0.9676482371794872,mnist,8,100,64,True,6.064255475997925,0.95,0.1,smlp78440010
54,0.8807091346153846,fashionmnist,16,100,64,False,20.558739185333252,0.95,0.1,simple
55,0.8807091346153846,fashionmnist,16,100,64,True,12.49237847328186,0.95,0.1,simple
56,0.8575721153846154,fashionmnist,16,100,64,False,17.012588024139404,0.95,0.1,scnn
57,0.8575721153846154,fashionmnist,16,100,64,True,15.895755529403687,0.95,0.1,scnn
58,0.8681891025641025,fashionmnist,16,100,64,False,11.194928169250488,0.95,0.1,smlp78440040010
59,0.8681891025641025,fashionmnist,16,100,64,True,10.594206094741821,0.95,0.1,smlp78440040010
60,0.9771634615384616,mnist,8,100,64,False,12.302274465560913,0.95,0.1,simple
